keyword,frequency
먼지,5174
미세,4935
미세먼지,4765
문,1081
대통령,1049
재인,1001
대책,870
화력,815
문재인,782
3,755
1,712
발전,619
8,604
발전소,593
한국,578
00,561
환영,552
운,482
5,471
미,471
0,469
2,466
셧다,464
10,423
9,416
오늘,404
내,374
중국,370
노후,367
농도,366
입장,359
실행,351
날,346
산업,332
성명서,321
7,320
대기,317
출처,316
석탄,311
㎥,295
㎍,294
정보,292
수,285
6,284
이,284
안전,281
오염,281
발,275
마스크,274
서울,272
단위,270
조회,270
안전행정부,269
행정부,269
대기오염정보,269
조회서비스,269
서비스,269
황사,267
말,267
차,262
날씨,261
일,258
중,258
걱정,256
화력발전,254
뉴스,254
화력발전소,250
다,249
4,246
마,246
우리,244
노동,238
조합,238
너,238
통합,237
이번,236
셧다운,234
문제,233
유세,233
조치,227
전,221
년,218
공기,218
대전,217
석탄화력발전소,215
공기업,214
통합노조인,214
노조인,214
한국발전노동조합,214
화력발전셧다운,214
처리,214
맨,211
굴,209
노조,209
굴맨,208
너구리,208
거,207
중단,203
원인,199
때문,198
경유,194
분,193
성명,191
심,186
조심,185
팅,184
수치,183
마지막,182
보통,181
세상,180
시행,180
룸,180
26589665,179
뉴스룸,179
문장,178
대구,176
중국발,176
저,176
속,172
환경,171
가동,168
경기,165
인천,162
충남,160
감기,160
유입,157
측정기,156
경유차,155
밥,155
ㅋ,153
연구,152
선거,152
충북,151
국민,151
약,151
한,151
지난해,151
강원,150
요즘,149
베이징,149
부족,146
22,146
꽃,146
공동,146
공동연구,146
언니,146
발표,145
그동안,145
사람,144
과학적,144
검증,144
50,143
전국,141
저번,141
해결,140
시간,140
인상,140
남,139
초등학교,139
피부,139
어버이날,138
등,137
문재인대통령,136
경,135
표,135
주사,135
해,134
선거전날,134
전날,134
박근혜찍,134
꽃집,134
꽃집언니,134
무료,134
여기저기,134
꽃배달,134
배달,134
심부름,134
광주,131
감축,131
호,130
17,130
부산,129
나,129
정부,129
제주,127
북,127
경북,127
안,126
지시,125
경유세,124
설치,123
지역,123
울산,122
정권,121
전남,120
씨,120
수준,119
기온,118
전북,118
경남,118
정책,116
김,115
트러블,115
피부트러블,114
자궁,114
자궁근종,114
근종,114
도,113
방문,113
개,111
팬,110
부,107
시,106
민,105
청정기,105
당,105
위,104
노총,103
24,101
하루,101
낮,99
비,99
국가,98
30,97
공기청정기,97
008,96
예방,96
돈,95
개인,95
데,95
대상,92
모든,92
곳,91
가능,90
초,90
니들,90
59,89
1574,89
기,88
꼴,88
검색,88
월,87
한국발전산업,87
노동조합,87
민노총,87
2030,87
2030년,87
눈,87
로,86
건강,86
효과,86
전기,85
비도,85
60,84
차단,83
때,83
99,81
초딩,79
줄,79
당장,78
여러분,77
중고,77
업무,77
보,77
초중고,76
법인,76
45,75
57,75
행정,74
외출,74
문재인정권,73
선심,73
선심행정2,73
문재인씨,73
필요,73
폐쇄,73
응급,73
구,73
계획,71
47,71
동안,70
고,70
소,70
대,70
피해,70
방법,70
3호,70
집,69
관련,69
후,68
원내,68
일부,67
이제,67
밖,67
사랑,67
어제,67
에너지,67
고등어,67
1013,66
9244,66
건,66
54,66
하나,66
이상,66
일보,66
18,65
띠,65
제안,65
서울시,64
공약,64
님,64
배출,63
위치,63
속보,63
업무지시,63
보급,62
수도권,62
26,62
목,62
2764,62
영향,62
연,61
지방,61
신청,61
78,61
라,61
25,61
여,60
배,60
적응,59
수단,59
참여,59
참가,59
제가,59
요새,59
여름,58
일시,58
물론,58
하겠,58
공무원,58
노력,58
가기,58
손,58
하늘,58
주세,58
증세,57
오,57
연안쪽,57
안쪽,57
수온,57
해파리,57
적조,57
어업,57
지역민,57
막심,57
폐,57
참가신청,57
임기,57
216,57
폐쇄하겠,56
ㄷ,56
김동철,56
동철,56
전문가,56
55,55
기사,55
27,54
뭐,54
코,54
주문,54
친구,54
힘,54
나눔,54
폐기,53
56,53
13,53
중앙,53
응원,53
강,53
추가,53
3분,53
창원,53
띠띠,52
오고,52
계신,52
14,52
추진력,52
승,52
체고잖아,52
수량,52
50개,52
가능합니,52
합니,52
농,52
아침,51
원,51
임시,51
관,51
로그,51
일평균,51
22도,51
안팎,51
조,50
실,50
0129,50
임기내,50
30년이상,50
10기,50
추진력ㄷㄷ,50
운동,50
중앙일보,50
소나기,50
42,49
숨,49
포함,49
둥,49
바,49
44,48
07,48
상태,48
가격,48
승관,48
캐럿,48
힘내,48
승관이,48
관이,48
사랑둥,48
뿌랑,48
뿌랑둥,48
부승관,48
터,48
박근혜,48
시절,48
측정,48
을,47
53,46
번,46
생각,46
카,46
국,46
58,46
82,46
녹색,46
통,45
내일,45
자,45
70,44
학교,44
그,44
휘발유,44
내가,44
나라,44
64,44
중지,44
앞,44
최고,43
심각,43
71,43
장기,43
ㅠ,43
은정,43
1호,43
엄마,43
61,42
탓,42
신,42
불순,42
장기대책,42
전기차,42
인하,42
호도,42
바람,42
지수,42
교과서,42
51,42
새끼,41
새,41
초미세,41
7173,41
노,41
은정초등학교,41
67,41
95,40
75,40
메,40
정화,40
초미세먼지,40
디,40
자기,40
62,40
비만,40
삼겹살,40
87,39
비교,39
니,39
16,39
반,39
네이버,39
다음,39
억,39
