keyword,frequency
발전소,6
먼지,6
미,4
전환,3
미세,3
미세먼지,3
코딱지,2
나라,2
차량,2
2,2
2부제,2
부,2
제,2
디젤차,2
제한,2
소용,2
결국,2
중국,2
중국발,2
발,2
환경,1
기준,1
수준,1
최대,1
강화,1
신규,1
화력,1
화력발전소,1
건설,1
석탄,1
8,1
시민,1
단체,1
환경기준,0
최소,0
선진국,0
권고,0
권고수준,0
초미세,0
초미세먼지,0
신설,0
한중일,0
환경협약,0
협약,0
체결,0
공조,0
공조강화,0
중단,0
가동,0
미착공석탄화력,0
착공,0
친,0
친환경발전소전환,0
농도,0
농도발생시기,0
발생,0
시기,0
11,0
4,0
4월,0
월,0
동률,0
동률하향조정,0
하향,0
조정,0
재난,0
안전,0
안전관리,0
관리,0
기본법,0
기본법개정,0
개정,0
국가,0
국가재난,0
포함,0
환경정책기본법,0
정책,0
먼지기준,0
외국,0
외국수준,0
25,0
25일,0
일,0
전국,0
8개,0
개,0
시민사회단체,0
사회,0
사회단체,0
서울,0
광화문,0
탈,0
탈석탄국민행동,0
국민,0
행동,0
이하,0
국민행동,0
을,0
공식,0
출범,0
현안,0
석탄발전소,0
백지화,0
요구,0
파주,0
파주시민단체,0
정치권,0
주범,0
건립,0
반대,0
