keyword,frequency
공기,634
청정기,634
먼지,634
공기청정기,633
미세,538
미세먼지,536
데,521
0,475
8,427
전,421
나,419
생산,419
달,419
00,419
백현,419
건강,419
메인,418
메인선물,418
선물,418
노드,418
연간,418
한정,418
한정수량,418
수량,418
이슈,418
달전,418
예약,418
0087,418
20,418
20년,418
년,418
소나무,418
50,418
50그루,418
그루,418
집안,418
효과,418
백,418
현,418
0506,417
미,135
1,121
6,120
중,111
10,109
9,106
학교,105
곳,105
9곳,105
10곳,104
심각,102
4,96
초,91
90,88
초중고,86
중고,86
만,84
중학교,80
6.6,80
보유,80
경북ㆍ대,80
최하위,80
7,56
36,37
79,37
3,7
뉴스,7
원,6
2,6
5,4
ㅡ,4
고,4
다음,4
다음뉴스,4
222,4
선착순,3
100,3
100명,3
명,3
추가,3
쿠폰,3
쿠폰증정,3
증정,3
공유,3
최대,3
85,3
85만원,3
경품,3
혜택,3
출처,3
네이버,3
제거,3
교육계,3
비리,3
대대적,3
조사,3
개혁,3
770,3
봄,2
봄나들이,2
나들이,2
카메라,2
힐링,2
마사지,2
마사지기,2
기,2
생활,2
생활가전,2
가전,2
총집합,2
제조,2
현장,2
점검,2
예산,2
29,2
고교,2
"225,000",2
"225,000원",2
터,2
입,2
입점기념,2
점,2
기념,2
특가,2
샤프,2
가습기,2
플라즈마,2
전상품,2
상품,2
관,2
관세포,2
세포,2
일본,2
직구,2
최저가,2
니,2
때문,1
차량,1
0095,1
방문,1
조달,1
대,1
대책,1
홍,1
홍철호,1
철,1
호,1
지원,1
중앙,1
중앙일보,1
일보,1
가지,1
국민,1
국민인수위원회,1
인수,1
위원회,1
초등학교,1
학부모,1
학부모운영위원,1
운영,1
위원,1
시간,1
학생,1
순차적,1
설치,1
각,1
학교예산,1
국,1
국비로,1
비로,1
국가,1
국가사업,1
사업,1
사고,0
적,0
오토,0
오토모드,0
모드,0
있음,0
원인,0
582,0
무드,0
무드등,0
등,0
악,0
악취로,0
취로,0
해방,0
디자인,0
최고,0
성능,0
공기정화기,0
정화기,0
밖,0
미세먼지때문,0
위험,0
구,0
집,0
겜,0
해,0
인터,0
인터파크쇼핑,0
파크,0
쇼핑,0
5월,0
월,0
가정,0
에어컨,0
무,0
무더위,0
더위,0
청,0
청소기,0
소기,0
제조업체,0
업체,0
관심,0
증가,0
가운데,0
실내,0
환기,0
도움,0
우수,0
우수조달기업,0
기업,0
생산현장,0
애로,0
애로사항,0
사항,0
중소기업,0
기술,0
기술개발,0
개발,0
옵플,0
지,0
체고,0
배,0
배쿙,0
쿙,0
프,0
프레시한,0
레,0
시한,0
내가,0
머,0
굴개,0
배켠,0
켠,0
생각,0
사가정,0
사가정역소개팅,0
역,0
소개팅,0
괴,0
괴정역,0
정역,0
샤베트,0
채팅,0
채팅방,0
방,0
주말,0
주말미팅,0
미팅,0
거,0
헌팅,0
만남,0
만남그램,0
그램,0
게르마늄,0
백학,0
백학면,0
면,0
파티,0
파티동호회,0
동호회,0
합성어,0
부,0
부평시장역,0
평,0
시장,0
삼덕,0
삼덕동,0
삼덕동커피,0
동,0
커피,0
교,0
교대역,0
대역,0
공기청정기미세먼지,0
백현동,0
가기,0
69,0
조달청장,0
청장,0
제조현장,0
8231,0
예,0
산,0
필요성,0
강조,0
241,0
075,0
잠깐,0
정책,0
정책소식통,0
소식통,0
판로,0
판로지원,0
방안,0
의견,0
수렴,0
전체,0
전체기사보기,0
기사,0
보기,0
창문,0
제대,0
법,0
헬스,0
헬스미디어,0
미디어,0
포스트,0
경보,0
안심,0
후지,0
후지카,0
카,0
냄새,0
냄새제거,0
각종,0
유해,0
유해물질,0
물질,0
세균,0
분해,0
질병,0
예방,0
사각지대,0
10곳중,0
77,0
뭐,0
디,0
기기,0
기기측정,0
측정,0
아메바,0
5가지,0
오해,0
진실,0
필수품,0
정화,0
정화식물,0
식물,0
산소,0
산소캔,0
캔,0
황사,0
공습,0
이젠,0
뉴,0
뉴노멀,0
노멀,0
매,0
매경이코노미,0
경,0
이코노미,0
16,0
24,0
초ㆍ중ㆍ,0
ㆍ,0
헤럴드,0
헤럴드경제,0
경제,0
88,0
사회,0
문제,0
전국,0
66,0
전국적,0
진행,0
17,0
문,0
야,0
화,0
마,0
우리집,0
