keyword,frequency
미세,29
미세먼지,29
먼지,29
황사,27
마스크,15
이유,8
4,8
올해,7
8,7
02,7
위,7
면,7
부직포,7
232,7
대기,6
황사마스크,6
착용,6
월,6
주변,6
분,6
5,6
오늘,5
서울,5
보통,5
환경,5
환경정보,5
정보,5
날씨,5
7,5
7월,5
8월,5
여름,5
말로,5
장난,4
중국,3
도움,3
3,2
날,2
일,2
1,2
등,2
6,2
황,1
때,1
데뷔,1
5주년,1
주년,1
기념,1
산,1
지역,1
묘목,1
480,1
480그루,1
그루,1
심각,1
녹색,1
국민,1
프로젝트,1
참가,1
의미,1
힘,1
실외,1
자제,1
제주,1
괴물,1
모자,1
모자반,1
반,1
습격,1
비상,1
모양,1
괭생,1
건,1
만,1
수거,1
일본,1
일본쪽,1
쪽,1
3098,0
봄,0
공포,0
황사ㅇ,0
ㅇ,0
윙태,0
요,0
요듐응,0
듐응,0
구,0
시급,0
시급ㅎ,0
ㅎ,0
용도별,0
행주,0
세차,0
필수,0
미,0
초미세,0
초미세먼지,0
세차용품,0
용품,0
걸레,0
557,0
스모그,0
진원지,0
소송,0
소송촉각,0
촉각,0
책임,0
출처,0
연합,0
연합뉴스,0
뉴스,0
네이버,0
주위,0
별도,0
터,0
요즘,0
뭐,0
숨,0
기분,0
난,0
기대,0
웃음,0
구름,0
모,0
코,0
폼,0
폼폼,0
입,0
그거,0
디스,0
꾸엑쿠엣,0
눈,0
햇살,0
2,0
때문,0
계속,0
전,0
전자,0
전자기기,0
자기기,0
기기,0
잠,0
부족,0
피곤,0
라,0
라섹,0
섹,0
부작용,0
음,0
짐,0
짐작가,0
작가,0
5월,0
6일,0
1시기준,0
시,0
기준,0
서울시,0
주의보,0
발령,0
실외활동,0
활동,0
창문,0
창문개방,0
개방,0
외,0
외출시,0
출시,0
주의,0
1109,0
개,0
외출,0
즈,0
대기중,0
중,0
물체,0
정지,0
상태,0
가스,0
가스형태,0
형태,0
증거,0
이것,0
살포,0
나라,0
정치,0
정치수준,0
수준,0
최근,0
위험성,0
사람,0
치명적,0
예방,0
예방대책,0
대책,0
발표,0
교육청,0
상황실,0
운영,0
학생,0
하교,0
조정,0
농도,0
실외수업자제,0
수업,0
실외수업금지,0
금지,0
임시,0
임시휴업,0
휴업,0
발송,0
00,0
0,0
0080,0
