keyword,frequency
중국,277
먼지,277
미세,275
미세먼지,275
대책,247
한국,233
5,225
4,225
원인,224
공동,224
연구,224
의,221
논의,221
공동연구인,221
인,221
이름,221
청천,221
프로젝트,221
본격적,221
정부,27
국민,22
폐해,19
심각,16
마련,16
논평,14
당,14
고연,14
호,14
미,13
1,13
20170524,8
고연호,8
저감,8
피해,8
9,7
2,7
21,7
방지,6
소송,5
수,5
진원지,5
진지,5
일대,5
베이징,5
톈,5
톈진,5
진,5
허베이,5
공업,5
기업,5
집중,5
위도,5
위도상,5
상,5
서울,5
산발적,5
오염,5
배출,5
배출가스,5
가스,5
저감장치,5
장치,5
미설치,5
운영,5
미흡,5
분진,5
분진방지,5
시설,5
문제,5
시급,5
건강,5
저,5
1안보,5
안보,5
고연호대변인,5
대변인,5
대책시급,5
3,4
중국정부,4
제기,4
스스로,4
자구,4
자구노력,4
노력,4
현실,4
대책마련,4
촉구,4
단,3
년,3
문,3
재인,3
일,2
날,2
공장,2
지,2
해결,2
계절,2
계절변화,2
변화,2
영향,2
황사,2
과학자,2
발생,2
규명,2
2022,2
중,2
공동연구단,2
전문가,2
워크숍,2
진행,2
자세,2
소식,2
나,2
0,2
중국놈,2
놈,2
2천년,2
천,2
꼬리,2
조선인,2
천벌,2
군사,2
군사정부,2
하늘,2
문재인,2
박,2
박정부,2
보복,2
보복정치,2
정치,2
당장,2
보고,2
보상,2
니들,2
건,2
여성,2
여성대통령,2
대통령,2
국민우롱,2
우롱,2
전,2
전부지,2
부지,2
측정기,2
시,1
30,1
5월9일,1
월,1
이후,1
경보,1
이유,1
여름,1
남동풍,1
무엇,1
중국발,1
발,1
거,1
오늘,1
84,1
역량,1
역량부족,1
부족,1
알맹이,1
미래,1
미래타령,1
타령,1
사용,1
기계,1
소송단,0
88,0
88명,0
명,0
24,0
24일,0
소장,0
제출,0
상대,0
규모,0
확대,0
열,0
환경,0
환경재단,0
재단,0
대표,0
안경,0
안경재,0
재,0
변호사,0
이날,0
오전,0
10,0
10시,0
대한,0
대한민국,0
민국,0
중화,0
중화민주주의,0
민주,0
민주주의,0
주의,0
625,0
신경,0
2015,0
2015년,0
그때,0
지금,0
시간,0
수치,0
둥,0
둥반도,0
반도,0
전이,0
2017,0
2017년,0
정도,0
이전,0
수록,0
내일,0
버숭님,0
배달,0
주신,0
가터,0
가터벨트,0
벨트,0
이용,0
92,0
심,0
마스크,0
세요,0
몽실이,0
조,0
조켸,0
켸,0
강아지,0
여,0
귀하,0
도움,0
생각,0
목요일,0
일하,0
랃님,0
능력,0
초능력,0
시바,0
평생,0
최악,0
원래,0
기온,0
감,0
봄,0
7,0
문재인정부,0
세,0
시작,0
석탄,0
석탄발전소,0
발전소,0
미세먼지원흉,0
원흉,0
발전,0
석탄보일러,0
보일러,0
최첨단,0
집진,0
집진설비,0
설비,0
탈황,0
탈황설비등,0
등,0
방지설비,0
부착,0
기준치,0
기준치미만,0
미만,0
가동,0
허가,0
평소,0
신대륙,0
미국,0
방,0
능,0
일본,0
홍,0
홍차,0
차,0
러시아,0
혁명,0
북한,0
비인,0
암,0
발병률,0
30배ㄷㅅ,0
배,0
ㄷ,0
ㅅ,0
때문,0
데,0
우리,0
우리나라,0
나라,0
머지,0
요즘,0
코,0
힘,0
피,0
콧물,0
비,0
게다,0
농도,0
맑은,0
뒤,0
2주,0
주,0
8,0
6,0
가능성,0
점,0
피해자,0
입장,0
많으,0
수면,0
장애,0
뉴스,0
화창,0
직,0
직화구,0
화구,0
ㅣ,0
시ㅣㅏㅏ,0
ㅣㅏㅏ,0
ㅏ,0
ㅏ바ㅏㅏㅏ,0
바,0
ㅏㅏㅏ,0
ㅓ,0
ㅜ,0
ㅜ워드,0
워드,0
워,0
12,0
