keyword,frequency
미세,5
미세먼지,5
먼지,5
경유,5
차,5
운행,4
경유차,3
서울,2
사대문,2
안,2
노후,2
제한,2
등,2
5,2
서울시,2
박원,1
박원순,1
순,1
시장,1
심각,1
대중교통,1
무료,1
광화문,1
광화문광장,1
광장,1
시민,1
3,1
3천명,1
천,1
명,1
토론회,1
사대문안,1
노후경유차,1
5대,1
대,1
약속,1
대기,1
대기상황,1
상황,1
단독,1
6,1
중국,1
황사,1
하늘,1
여기,1
디,1
착각,1
정돈,1
정돈데,1
데,1
죄,1
죄파놈,1
파,1
놈,1
대책,1
서민,1
차인,1
감소,1
화력,1
화력발전정지,1
발전,1
정지,1
항의,1
문제,1
7,0
북한,0
구라,0
5810,0
요즘,0
롤,0
풍년,0
세상,0
원,0
원수니,0
수니,0
덕분,0
세대,0
신규,0
신규차,0
지급,0
소식,0
강경책,0
진입,0
차량,0
2,0
2부제,0
부,0
제,0
실시,0
승차감,0
타이어,0
독일,0
브레이크,0
패드,0
드럼,0
브레이크슈,0
슈,0
자동차,0
운행과정,0
과정,0
발생,0
도로,0
배출,0
6배,0
배,0
연구,0
연구결과,0
결과,0
