keyword,frequency
먼지,78
마스크,78
미세,73
미세먼지,67
0,25
00,23
2,17
7,17
5,16
착용,16
009,12
1,12
때,12
아기,11
아기침침,11
침침,11
모자,11
착용샷,11
샷,11
사진,11
봄날,11
55,11
0301,11
2027,11
032,11
0300,11
8,9
미,9
오늘,8
황사,7
6,6
4,6
9,5
나,5
씹새끼,4
새끼,4
현수,4
엄마,4
조심성,4
개새끼,4
시발,4
시발새끼,4
거,4
수,4
집,3
3,3
여러분,3
내,3
ㅠ,3
농도,3
길,3
시,3
네이버,3
산책,2
17,2
조심,2
니,2
모,2
남,2
하루,2
목,2
안,2
사람,2
해,2
02,2
약,2
하나,2
저,2
개,2
무,2
역,2
날,2
일,2
외출,2
008,2
걱정,2
스마트,2
등장,2
출처,2
뉴스,2
사용,2
서울,2
확인,2
자기,2
미세먼지마스크,1
코,1
초미세,1
초미세먼지,1
그동안,1
0084,1
96,1
ㄱ,1
세상,1
속,1
2763,1
내일도,1
일도,1
필수,1
몸,1
야,1
명심,1
행복,1
0081,1
언니,1
왕,1
왕소라,1
소라,1
이태원,1
아프리카,1
아프리카방송,1
방송,1
5월가정,1
월,1
가정,1
달,1
유,1
유투브,1
투브,1
구독,1
해주세,1
주세,1
스타,1
스타벅스,1
벅스,1
노,1
년,1
황사마스크,1
직구,1
꽃,1
ㅅ,1
님,1
끼,1
구매,1
면,1
오,1
도시,1
나라,1
가격,1
뭐,1
원,1
전,1
북,1
주의,1
경기,1
경기도,1
도,1
전권,1
전권역,1
주의보,1
발령,1
금일,1
도민,1
야외,1
야외활동,1
활동,1
자제,1
요즘,1
때문,1
50,1
ㅇ,1
박,1
인생,1
번,1
어디,1
구,1
ㅎ,1
라,1
서울주변,1
주변,1
롯데,1
롯데월드타워,1
월드,1
타워,1
방식,1
사우,1
안보이,1
보이,1
써야,1
예전,0
반려,0
반려견,0
견,0
강아지,0
비염,0
천식,0
코아,0
코마스크,0
사랑,0
뿌야,0
흑,0
흑륵릇ㄱ흑,0
륵릇,0
흑흑,0
누나,0
승,0
공기,0
살,0
살옹,0
옹,0
0116,0
돌풍,0
우리,0
승가,0
최고,0
바,0
뿌랑,0
뿌랑둥,0
둥,0
시간,0
좋겠어ㅣ승관이,0
0082,0
0095,0
이해,0
애,0
이슬,0
이슬언니,0
포스,0
아메리카,0
아메리카노,0
2017,0
2017년,0
식,0
식약청의,0
청의,0
지수,0
인증,0
목록,0
방진,0
방진마스크,0
오랜만,0
산,0
가야,0
무릎,0
핑계,0
자신,0
체중,0
위험,0
위험하다,0
하다,0
사인,0
하나의,0
의,0
할,0
아웃,0
아웃도어,0
도어,0
액세사리,0
1109,0
월요일,0
힘,0
세주,0
세주뉴,0
뉴,0
꽃길,0
룜,0
세준,0
172,0
ㅋ,0
ㅅㅂ,0
ㅂ,0
넬,0
냠,0
냠님,0
숀,0
숀보내여지,0
보,0
여지,0
해악,0
해악합,0
합,0
ㅏ,0
마스크끼세요,0
세요,0
후두염,0
중이염,0
욋,0
넘,0
나의,0
닉,0
내일,0
내일당장,0
당장,0
약국가,0
국가,0
차단,0
마스크사서,0
사서,0
끼거,0
갯지,0
서치,0
시즌,0
대용량,0
판매,0
곳,0
0094,0
이유,0
위,0
부직포,0
232,0
자전거,0
오토바이,0
바이크,0
라이,0
라이딩,0
딩,0
오펜가드,0
펜,0
가드,0
스포츠,0
스포츠마스크,0
별,0
메타,0
메타세쿼이아,0
세쿼이아,0
46,0
정도,0
수준,0
정부,0
정부차원,0
차원,0
무료,0
배포,0
일정,0
일정금액,0
금액,0
부담,0
하나당,0
당,0
피부,0
극,0
극도로,0
도로,0
전북일보,0
일보,0
모바일,0
사이트,0
습격,0
실태,0
무더위,0
더위,0
판,0
리,0
리수언니,0
희언,0
54,0
오전,0
북부,0
중부,0
남부,0
오후,0
12,0
12시,0
전지역,0
지역,0
불,0
스쿨,0
스쿨존,0
존,0
10,0
때무,0
가지,0
눈,0
꽃가루,0
가루,0
출퇴근,0
출퇴근길,0
마스크착용,0
도움,0
ㅠㅅ,0
담배,0
담배연기,0
연기,0
짐,0
마지막,0
자캐,0
두고,0
한마디,0
지금,0
케이,0
케이콘,0
콘,0
노래,0
마사,0
마사카,0
카,0
인간,0
동물,0
동물친구,0
친구,0
익스,0
익스트림사계절,0
트림,0
사계절,0
댕댕이,0
일년,0
폭우,0
폭설,0
폭염,0
혹한,0
걷기,0
걷기운동,0
운동,0
매연,0
장난,0
사,0
사길,0
외출하세,0
하세,0
진짜,0
100,0
100만,0
만,0
꼴,0
잌,0
한번,0
이후,0
보통,0
보통밑,0
밑,0
ㅈ,0
저놈,0
원흉,0
몇개사놔야겠더,0
숨,0
0099,0
2728,0
지,0
지누맨,0
누,0
맨,0
인덕,0
인덕원역,0
네스,0
네스노윙치즈,0
윙,0
치즈,0
네이버포스트,0
포스트,0
대구,0
대구면,0
부산,0
부산탭댄스,0
탭,0
댄스,0
작전,0
기초,0
기초영문법,0
영문법,0
삼서,0
삼서면,0
모도시,0
스텔라,0
스텔라청첩장,0
청첩장,0
두실,0
홈페이지,0
홈페이지제작,0
제작,0
삼청,0
삼청동,0
동,0
네이버광고대행,0
광고,0
대행,0
문척,0
문척면,0
깻잎,0
깻잎무쌈,0
쌈,0
관인,0
관인면,0
목포,0
플,0
플제작,0
실크,0
