keyword,frequency
미역국,212
생일,39
거,25
0,25
밥,22
00,20
국,19
맛,15
4,14
8,14
2,13
역,13
나,13
때,13
축하,13
3,12
미,12
오늘,12
1,12
집,12
아침,11
김치,11
소고기,11
일,10
우리,10
전,10
어머님,10
너,10
ㅎ,10
9,9
날,9
하루,9
안,9
5,8
요리,8
느이,8
사니,8
단도,8
제작,8
제작패,8
패,8
너희,8
이틀,8
자기,8
말,7
내,7
고기,7
미역,6
사람,6
엄마,6
수,6
7,6
남편,6
이틀전,6
월요일,6
간,5
년,5
애,5
니,5
내가,5
008,5
점심,5
뭐,5
고,5
저녁,5
눈물,5
나중,5
6,4
그거,4
월,4
25,4
돼지,4
무침,4
볶음,4
배추,4
리,4
사랑,4
ㅋ,4
케이크,4
23,4
저희,4
여,4
ㅇ,4
감사,3
긔,3
민,3
미안,3
중,3
급식,3
오이,3
배추김치,3
무,3
동생,3
디,3
님,3
생각,3
계란,3
줄,3
이,3
음식,3
지금,3
떡국,3
두부,3
먹,3
언니,3
음,3
여러분,3
고록,3
록,3
실버,3
실버타운,3
타운,3
수저,3
시간,3
ㅜ,3
남,3
원,2
생신,2
2017,2
2017년,2
5월,2
25일,2
목요일,2
성당,2
성당중급식,2
현미,2
현미찹쌀밥,2
찹쌀밥,2
새알,2
새알미역국,2
돼지갈비찜,2
갈비찜,2
브로콜리,2
브로콜리오이무침,2
잔멸,2
꽈리,2
꽈리볶음,2
레,2
ㅠ,2
ㅅ,2
없엇,2
바,2
오,2
친구,2
어머니,2
정도,2
데,2
번,2
떡볶이,2
저,2
진짜,2
라면,2
만,2
케잌,2
ㅈ,2
치킨,2
해,2
가루,2
0082,2
도,2
케익,2
삼겹살,2
선물,2
2022,2
그릇,2
11,2
717,2
허,2
길,2
히,2
담,2
불고기,2
원샷,1
샷,1
22,1
랴깐,1
햄,1
햄긔,1
생신날,1
민녁,1
녁,1
이벤트,1
겟고,1
돈,1
아침댓바람,1
댓바람,1
보일러,1
알몸,1
에이프런,1
방구,1
옹,1
3초간,1
초,1
정적,1
편의점,1
코,1
우유,1
괴,1
우울,1
재료,1
도전,1
영국,1
영국남자,1
남자,1
공유,1
군,1
무료,1
동,1
먹지,1
빵,1
가족,1
번째,1
자신,1
싶더,1
조아,1
생일만큼,1
만큼,1
그날,1
하루만큼,1
건,1
생일날,1
주신,1
보,1
힘,1
팬,1
처음,1
다,1
김치볶음밥,1
볶음밥,1
계란찜,1
김,1
고체,1
소고기미역국,1
14,1
점심시간,1
거지,1
호,1
새우,1
설,1
ㄴ,1
기여,1
오뎅,1
98,1
뵤,1
뵤리,1
앞,1
우,1
우정합시다,1
정합,1
시다,1
먹긔,1
스님,1
제일,1
휴,1
넘,1
먹자,1
009,1
키,1
소리,1
ㅁ,1
ㅊ,1
ㅣ,1
아빠,1
마지막,1
수능,1
제주,1
51,1
266,1
2727,1
0089,1
가지,1
반,1
메뉴,1
랬,1
김밥,1
거기,1
ㄱ,1
밥상,1
들깨,1
들깨가루,1
시,1
개,1
냉면,1
이거,1
74,1
ㄹ,1
피,1
웡,1
진,1
사랑한느,1
한느,1
윌,1
기분,1
생이,1
꽃,1
오빠,1
살,1
세일,1
끼,1
국도,1
간장,1
감자,1
순간,1
흑,1
순,1
2039,1
ㅏ,1
918,1
살이,1
소면,1
고민,1
스팸,1
잡수꼬시쁘,1
애교,1
테,1
노력,1
저번,1
빅,1
빅쮸,1
쮸,1
전화,1
제가,1
대신,1
골뱅이,1
양지,1
갈색,1
701,1
엿,1
카레,1
가격,1
폰,1
김치찌개,1
치킨미역국,1
1993,0
못끓여줫다,0
미안해하,0
해하,0
77,0
포,0
포카,0
카,0
쬐만,0
700,0
700원,0
코우유,0
미역괴무우울,0
생일미역국,0
예전,0
이젠,0
대충,0
나이,0
거디,0
ㅠㅅ,0
존,0
존맛,0
요즘,0
할매,0
고령,0
고령군,0
고령군데이트,0
데이트,0
충주,0
충주까페,0
까페,0
삼,0
삼역,0
체,0
체지방,0
지방,0
동아,0
동아리,0
성게,0
성게미역국,0
청소년,0
청소년무료채팅,0
채팅,0
포항,0
포항헬스,0
헬스,0
연,0
연애,0
만남,0
만남그램,0
그램,0
신문,0
신문사설,0
사설,0
복산,0
복산동,0
여자,0
여자전문직,0
전문직,0
귀요,0
산청,0
산청군,0
산청군데이트,0
택배,0
역촌,0
역촌역,0
정남,0
정남면,0
면,0
가기,0
늬,0
늬점,0
점,0
건강,0
한국인,0
시선,0
조,0
조킷,0
킷,0
난모,0
난모먹지,0
빵바,0
없가,0
사스,0
오전,0
아이,0
카프카,0
연인,0
바래요,0
래요,0
0097,0
네가,0
혐오,0
원래,0
합,0
읍,0
읍읍,0
12,0
18,0
바통,0
계란말,0
스테이크,0
이상,0
텐션,0
때문,0
99,0
99년,0
생일파티,0
파티,0
적,0
새벽,0
달력,0
주신정도,0
화장실,0
다음,0
추진,0
솥,0
심정,0
짐,0
팬텀,0
텀,0
제목,0
신곡,0
보고,0
효자,0
남친,0
노래,0
응,0
내일,0
6648,0
엄마표,0
표,0
짱,0
자,0
성애,0
자주,0
요거트,0
개로,0
일주일,0
김볶,0
이것,0
본건,0
자취,0
기억,0
참고,0
조화,0
데일리,0
목욕물,0
입욕제,0
블럭,0
ㅌ,0
미역국맛,0
사이,0
1년만,0
금,0
유,0
설명,0
설명충로봇3000,0
충,0
로봇,0
3000,0
혼합,0
혼합잡곡밥,0
잡곡밥,0
애호박,0
애호박볶음,0
웅,0
