"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @cybereater: [홍대] 쟈오쯔
중식, 만두 4000~
핫한 중국 만두집. 삼치만두가 그렇게 맛있다길래 혼자 삼치만두 두개 시켰다가 배불러죽을뻔했다. 김밥천국 만두도 4000원인데 이젠 쟈오쯔뿐이다. 함께 내어주는 쨔샤이,양파절임과 차도…",FALSE,0,NA,2017-05-26 23:59:47,FALSE,NA,"868255376478580737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","semsem0706",803,TRUE,FALSE,NA,NA
"2","RT @ochunsa5454: [당진시]일본·중국 기업이 당진으로 몰려온다
 https://t.co/DnAAFz71si https://t.co/twB2E6vRNt",FALSE,0,NA,2017-05-26 23:59:40,FALSE,NA,"868255347055579136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chunsa1414",7,TRUE,FALSE,NA,NA
"3","RT @SBS8news: 중국이 한국에서 제기된 미세먼지 소송과 관련해 한국에 책임이 많다며 책임 회피성 태도를 보이고 있습니다.
https://t.co/noRPaxI9fS https://t.co/jW1LhFjSFR",FALSE,0,NA,2017-05-26 23:59:38,FALSE,NA,"868255335827382273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","applecar5",224,TRUE,FALSE,NA,NA
"4","@Tiel_0_ 난 아직도 베트남이야!! 내일 중국으로 돌아가!",FALSE,0,"Tiel_0_",2017-05-26 23:59:30,FALSE,"868255147348160512","868255302440828928","843841204835909632","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_El_dbs",0,FALSE,FALSE,NA,NA
"5","RT @taipei_monsoon: 중국에서 선호 부르는 애칭? 진짜 귀여움ㅋㅋ선호 글마다 63<U+53F7>가 있어서 뭔가 했더니 선호 한자이름인 柳善皓(liushanhao)의 병음 표기랑 63<U+53F7>(liusanhao)랑 거의 똑같아서 선호보고 다들 63호(<U+53F7>)라…",FALSE,0,NA,2017-05-26 23:59:29,FALSE,NA,"868255301627068416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vmfgebtm101",914,TRUE,FALSE,NA,NA
"6","중국여자애 되게 부끄럼많다",FALSE,0,NA,2017-05-26 23:59:27,FALSE,NA,"868255292236091392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Awesome_SixiS",0,FALSE,FALSE,NA,NA
"7","RT @estima7: 유커만 바라보다…중저가·싸구려 이미지 굳어진 명동 https://t.co/P9KysJDiUG 긴자식스 등으로 다시 주목받는 도쿄 긴자 같은 곳과 대조적. 중국관광객에게 한 푼이라도 더 뽑아낼 생각밖에 없으니...",FALSE,0,NA,2017-05-26 23:59:20,FALSE,NA,"868255263467331584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a0987a1",344,TRUE,FALSE,NA,NA
"8","RT @ll_Doryeon_ll: Rt 감사합니다88)♥<U+FE0F>
니어오토마타 투비 판매합니다!
중국샵 L(55~큰55)
사진상 검,속바지 제외풀셋
운포 13
답글에 계속 https://t.co/2LDHnIiujh",FALSE,0,NA,2017-05-26 23:59:20,FALSE,NA,"868255262213160960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sangy0u",202,TRUE,FALSE,NA,NA
"9","RT @elayxing: 한국이든 중국이든 어디든 한결같이 듣는 소리
레이 참 착해
레이 너무 귀여워 https://t.co/T2vXPA7MKC",FALSE,0,NA,2017-05-26 23:58:55,FALSE,NA,"868255156877635584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","X_Z_C_0408",1100,TRUE,FALSE,NA,NA
"10","RT @Kammuse: 황교안 ""사드 배치, 中 뒤통수 친 것 아냐"" | Daum 뉴스

중국 뒤통수를 걱정하나? 황씨는 국민들 뒤통수 친 것에 대한 댓가를 지불해야 한다. 황씨는 박근혜 부역자일 뿐이다! https://t.co/t6Az09t3lY",FALSE,0,NA,2017-05-26 23:58:49,FALSE,NA,"868255132336640001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syj1408",245,TRUE,FALSE,NA,NA
