"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @estarkkr: 제주 6km '괴물 모자반' 습격..올해도 어김없이 '비상' 
중국에서 오는 건 죄다 왜 그모양이냐?
황사,미세먼지, 괭생이 모자반, 도움되는 건 없고 전부 나쁜것들만 오네. 수거해서 그대로 일본쪽으로 버리자
https://…",FALSE,0,NA,2017-05-27 23:46:40,FALSE,NA,"868614461531103232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kangkjh79",17,TRUE,FALSE,NA,NA
"2","중국은 침체된 명동과 제주 등에 부동산투자를 늘린 후 한한령을 풀고 다시 중국관광객을 대거 보낼 것이다. 좌파정권은 미세먼지 등 환경문제를 핑계로 4대강사업 규모를 능가하는 화력발전소 교체사업과 전기차 관련 대규모 이권사업을 강행할 가능성이 높다.",FALSE,0,NA,2017-05-27 23:02:48,FALSE,NA,"868603423377063937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dohyunpark1Dhp1",0,FALSE,FALSE,NA,NA
"3","@dongamedia 서울 지하철 적자 규모가 얼마입니까? 의정부 경전철은 파산하였습니다. 화력발전소와 도심 대중교통량은 (초)미세먼지와 별 상관없습니다. 오로지 중국 때문입니다.",FALSE,0,"dongamedia",2017-05-27 22:48:03,FALSE,"868442953353527298","868599712152027136","60851517","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dohyunpark1Dhp1",0,FALSE,FALSE,NA,NA
"4","RT @youngkim28: 환경정책평가연구원 국내 미세먼지(10μm 이하)농도 중국 기여도 최고 70%로 분석. 전북 보건환경연구원의 미세먼지 원인분석도 70%가 중국 영향으로 나타나. 

중국은 석탄발전소 계속 증설, 한국이 화력발전 몇개 닫는다…",FALSE,0,NA,2017-05-27 22:36:15,FALSE,NA,"868596741150576641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tkhanuli",16,TRUE,FALSE,NA,NA
"5","RT @youngkim28: 환경정책평가연구원 국내 미세먼지(10μm 이하)농도 중국 기여도 최고 70%로 분석. 전북 보건환경연구원의 미세먼지 원인분석도 70%가 중국 영향으로 나타나. 

중국은 석탄발전소 계속 증설, 한국이 화력발전 몇개 닫는다…",FALSE,0,NA,2017-05-27 22:16:40,FALSE,NA,"868591811731668993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wlsdls60",16,TRUE,FALSE,NA,NA
"6","RT @estarkkr: 제주 6km '괴물 모자반' 습격..올해도 어김없이 '비상' 
중국에서 오는 건 죄다 왜 그모양이냐?
황사,미세먼지, 괭생이 모자반, 도움되는 건 없고 전부 나쁜것들만 오네. 수거해서 그대로 일본쪽으로 버리자
https://…",FALSE,0,NA,2017-05-27 21:17:44,FALSE,NA,"868576980463112192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shanghai64",17,TRUE,FALSE,NA,NA
"7","@softmanman 중국발 미세먼지를 국내문제로 만드는 친북 친중 좌빨들의 만행을 철저히 복수해야 한다.",FALSE,1,"softmanman",2017-05-27 21:09:12,FALSE,"868560776348393472","868574833889562624","110910309","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","britehong",0,FALSE,FALSE,NA,NA
"8","RT @estarkkr: 제주 6km '괴물 모자반' 습격..올해도 어김없이 '비상' 
중국에서 오는 건 죄다 왜 그모양이냐?
황사,미세먼지, 괭생이 모자반, 도움되는 건 없고 전부 나쁜것들만 오네. 수거해서 그대로 일본쪽으로 버리자
https://…",FALSE,0,NA,2017-05-27 20:48:55,FALSE,NA,"868569728989577216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yousolbeen2",17,TRUE,FALSE,NA,NA
"9","RT @estarkkr: 제주 6km '괴물 모자반' 습격..올해도 어김없이 '비상' 
중국에서 오는 건 죄다 왜 그모양이냐?
황사,미세먼지, 괭생이 모자반, 도움되는 건 없고 전부 나쁜것들만 오네. 수거해서 그대로 일본쪽으로 버리자
https://…",FALSE,0,NA,2017-05-27 20:44:35,FALSE,NA,"868568638420156416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chun109",17,TRUE,FALSE,NA,NA
"10","중국에 찍소리도 못하면서 미세먼지 날린다고 2부제를
해? 차몰고 다니는 것도 니들 맘데로냐? 공짜면 다 좋아서 찬성할 줄 아노?&gt;&gt;&gt;미세먼지 심각시 자가용 2부제·대중교통 무료 '초강수' (종합) | 다음뉴스 https://t.co/CHQVcXDw6d",FALSE,4,NA,2017-05-27 20:13:20,FALSE,NA,"868560776348393472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","softmanman",20,FALSE,FALSE,NA,NA
