"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BTS_twt: 미역국 감사합니다.. #원샷했어요 https://t.co/e3DEMKE3k9",FALSE,0,NA,2017-05-25 23:54:05,FALSE,NA,"867891553854828544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aum_b2uty1",52996,TRUE,FALSE,NA,NA
"2","아 도넛미역국인줄알고 저게뭐야 했어",FALSE,0,NA,2017-05-25 23:45:48,FALSE,NA,"867889466907607042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comu_ash",0,FALSE,FALSE,NA,NA
"3","RT @sunny790702: 아침상에 미역국이 있어서 왠미역국?했더니 엄니가 니엄마 생일이다!!!해서 너무 미안해서 눈물날뻔..ㅠㅠ 엄마 미안요..ㅠㅠ",FALSE,0,NA,2017-05-25 23:39:47,FALSE,NA,"867887954831654913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GETMYDREAM",1,TRUE,FALSE,NA,NA
"4","RT @BTS_twt: 미역국 감사합니다.. #원샷했어요 https://t.co/e3DEMKE3k9",FALSE,0,NA,2017-05-25 23:33:18,FALSE,NA,"867886323960471553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tmbja",52996,TRUE,FALSE,NA,NA
"5","미역국 맛없어",FALSE,0,NA,2017-05-25 23:32:24,FALSE,NA,"867886097300307968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asvirus2",0,FALSE,FALSE,NA,NA
"6","@sunny790702 미역국 먹기전엔 항상 체크를 ㅎㅎ",FALSE,0,"sunny790702",2017-05-25 23:28:12,FALSE,"867883081327271936","867885039492714501","188180699","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilykkomul",0,FALSE,FALSE,NA,NA
"7","@_theserene ㄱㅅㄱㅅ 미역국은 먹었는데 먹는 도중에 깨달은 ㅋㅋㅋ",FALSE,0,"_theserene",2017-05-25 23:21:10,FALSE,"867882310388957184","867883270121414656","2567550175","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaonGaon",0,FALSE,FALSE,NA,NA
"8","RT @cooosy2: 시부모님 생신에 형님네랑 음식 이러저러하게 할거라니까 웃으며 '이제 둘 다 음식 안하네?' 라고 했던 너새끼 진짜.. 미역국이라도 우리 부모님한테 끓여줘봤냐? 외식 같이 하는 건 나 수백번도 더 하겄네.",FALSE,0,NA,2017-05-25 23:20:42,FALSE,NA,"867883152374513664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dooodoooj",1,TRUE,FALSE,NA,NA
"9","아침상에 미역국이 있어서 왠미역국?했더니 엄니가 니엄마 생일이다!!!해서 너무 미안해서 눈물날뻔..ㅠㅠ 엄마 미안요..ㅠㅠ",FALSE,1,NA,2017-05-25 23:20:25,FALSE,NA,"867883081327271936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunny790702",1,FALSE,FALSE,NA,NA
"10","@RaonGaon 미역국드십셔 생일축하축하",FALSE,0,"RaonGaon",2017-05-25 23:17:21,FALSE,"867767563823882240","867882310388957184","390095447","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","_theserene",0,FALSE,FALSE,NA,NA
