"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:58:34,FALSE,NA,"869342232779694080",NA,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter</a>","jinjoo_ab",954,TRUE,FALSE,NA,NA
"2","RT @seventeeeeeenth: @kcanari 穿啊 焙措俊辑 逛冈绰吧肺 '焙逛'秦玲栏搁 亮摆嚼聪促... 濒厘厚匆豪瘤 丹篮 侥魄困俊辑 倔绢嘿篮 固开惫狼 侥皑阑 澜固窍绰...",FALSE,0,NA,2017-05-29 23:54:02,FALSE,NA,"869341091803185152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CNCN_",9,TRUE,FALSE,NA,NA
"3","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:53:07,FALSE,NA,"869340860407664641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aloog_gin",954,TRUE,FALSE,NA,NA
"4","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:48:45,FALSE,NA,"869339762934468608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stro_0482",954,TRUE,FALSE,NA,NA
"5","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:44:12,FALSE,NA,"869338614999601152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abty__1",954,TRUE,FALSE,NA,NA
"6","@BJ01_pg 急硅绰 固开 亮酒秦夸? 没惫厘固开惫捞带单... (固功)",FALSE,0,"BJ01_pg",2017-05-29 23:43:12,FALSE,"869337148926951424","869338365946060802","868501272487448579","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HDO_pg",0,FALSE,FALSE,NA,NA
"7","RT @seventeeeeeenth: @kcanari 穿啊 焙措俊辑 逛冈绰吧肺 '焙逛'秦玲栏搁 亮摆嚼聪促... 濒厘厚匆豪瘤 丹篮 侥魄困俊辑 倔绢嘿篮 固开惫狼 侥皑阑 澜固窍绰...",FALSE,0,NA,2017-05-29 23:39:48,FALSE,NA,"869337511822106625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","osori312",9,TRUE,FALSE,NA,NA
"8","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:36:12,FALSE,NA,"869336604485197826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__CYun",954,TRUE,FALSE,NA,NA
"9","固开临扁汉澜俊 固开惫捞扼聪...固开阑 瓤啦利栏肺 荤侩窍绰 巴俊 皑藕阑 秦具窍绰 吧鳖...?",FALSE,0,NA,2017-05-29 23:34:10,FALSE,NA,"869336091630870528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HDO_pg",0,FALSE,FALSE,NA,NA
"10","RT @angbongE2: 咯磊模备狼 积老捞菌促. 固开惫阑 产咯林妨 捞府历府 夸府甫 窍促啊 巩垫, 咯磊模备啊 奔家胶甫 持栏搁 葛电 澜侥捞 咐乐促绊 沁带 富捞 栋棵耳促. 持菌促. 腹捞 去车促.",FALSE,0,NA,2017-05-29 23:33:48,FALSE,NA,"869336000463421440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suri_0_0b",954,TRUE,FALSE,NA,NA
