"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","»ï°ã»ì ¸Ô°í ½Í´õ",FALSE,0,NA,2017-05-24 23:58:53,FALSE,NA,"867530372396875776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","niku_1103",0,FALSE,FALSE,NA,NA
"2","¿Í ´ëÆÐ»ï°ã»ì °°´Ù",FALSE,0,NA,2017-05-24 23:57:54,FALSE,NA,"867530127147638784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenNa_0410_",0,FALSE,FALSE,NA,NA
"3","Áý¿¡ °¡¼­ »ï°ã»ì ±èÄ¡ººÀ½¹ä ÇØ¸Ô°í ¾Æ¾Æ¸Þ ¸¶½Ç °Å¾ß",FALSE,0,NA,2017-05-24 23:54:11,FALSE,NA,"867529190278443008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ETok_uta",0,FALSE,FALSE,NA,NA
"4","¾î¶»°Ô Àå¹Ì°¡ ´ëÆÐ»ï°ã»ì·Î º¸ÀÎ´ÙRT",FALSE,1,NA,2017-05-24 23:53:19,FALSE,NA,"867528970488565760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FFth_19",0,FALSE,FALSE,NA,NA
"5","»ï°ã»ì Àå¹Ì¤»¤»¤»¤»¤»¤»¤»",FALSE,0,NA,2017-05-24 23:52:57,FALSE,NA,"867528881762258945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","piel_ff14",0,FALSE,FALSE,NA,NA
"6","¿À´ÃÀº Â÷ÇÇ ÇÒ¸Ó´Ï ºÆ·¯°¡´Â°Å´Ï
°í±â°¢ÀÎµ¥ Á¡½É»ï°ã»ì °¢ÀÎ°¡¢¯",FALSE,0,NA,2017-05-24 23:52:20,FALSE,NA,"867528722752000001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FF14_IUJinLi",0,FALSE,FALSE,NA,NA
"7","Çã¾ï »ï°ã»ì",FALSE,0,NA,2017-05-24 23:51:57,FALSE,NA,"867528626765348864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FF14_IUJinLi",0,FALSE,FALSE,NA,NA
"8","RT @frommydawn: ³ª µµ³áÀÌ°¡ »ï°ã»ìÁý¿¡¼­ ¾Ë¹ÙÇÏ´Âµ¥ ½ÄÅ¹ ´ÛÀ» ¶§ ¾²´Â ºÐ¹«±â (±×´Ï±î ¼ÒÁÖ ´ã±ä °Å) ´Û´Ù°¡ ´«Ä¡º¸°í ÀÔ¿¡ ÇÑ ¹ø Ä¢ ÇÏ°í ½ÄÅ¹¿¡ Ä¢Ä¢ÇÏ°í ÀÔ¿¡ ¶Ç Ä¢ ÇÏ´Â °Å º¸°í ½Í¾î",FALSE,0,NA,2017-05-24 23:51:47,FALSE,NA,"867528585216749569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","so___ma__",15,TRUE,FALSE,NA,NA
"9","ÇÑ 5³â Àü? ºÎÅÍ °í±â¸Ô°í ½Í´Ù´Â »ý°¢À» ¾È ÇØ¼­ ÀÇ½ÄÇØ¼­ Ã£¾Æ ¸Ô´ÂÆíÀº ¾Æ´Ñµ¥ ¾îÁ¦ºÎÅÍ &gt;&gt;ºÒ¿¡ ±¸¿î »ï°ã»ì&lt;&lt;ÀÌ ³Ê¹« ¶¯°Ü¼­ ¾ðÁ¦°¡ ¸¶Áö¸·ÀÌ¾úÁö...ÇÏ°í »ý°¢ÇØº¸´Ï 1¿ùÀÌ¾ú´Ù...",FALSE,0,NA,2017-05-24 23:50:02,FALSE,NA,"867528147796807680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hanana_good",0,FALSE,FALSE,NA,NA
"10","Áö¸íÅ¸ÀÚ »ì¶û»ì¶û #ÀÎ½ºÅ¸±×·¥¸¶ÄÉÆÃ POP ÇØ¿Ü¿©Çà ¼ºÁØ #¶óÀÌÅ©¹Ì ¾ß±¸Àå #ÁÁ¾Æ¿ä´Ã¸®±â À±°è»ó ¶ó½ºÆ®¼­ÆÛ #ÀÎ½ºÅ¸±×·¥ #ÆÈ·Î¿ö´Ã¸®±â ½ÎÀÎº¼ ºÎÃ÷ #ÀÎ½ºÅ¸±×·¥ÆÈ·Î¿ö´Ã¸®±â ¿¬¿¹°¡Áß°è Æ¼ÄÏ¸µÅ© »ï°ã»ì Á¶¿©Á¤ ÇÐ±³ Ç²»ì ³ë·¡ Ä¿ÇÃ¿©Çà Æ¼ÆÄ´Ï #¶óÀÌÅ©½ºÅ¸",FALSE,0,NA,2017-05-24 23:46:27,FALSE,NA,"867527242523357184",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","beautvub",0,FALSE,FALSE,NA,NA
