"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","½É½ÉÇØ »ï°ã»ì¸ÔÀ¸·¯

#ÀÏ»ó #¿©Çà #¾Æ¹ã

#°­³²Ç®½Î°¡°Ý01085924408
#Ã¢µ¿Ç®½Î01085924408
#¿ª»ïµ¿Æ÷Ä¿½º01085924408
#³íÇöÇ®½Î01085924408
#È«´ëÇ®Å¬·´01085924408
#¼­ÃÊÇ®½Î01085924408",FALSE,0,NA,2017-05-26 23:54:47,FALSE,NA,"868254117113741312",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","OIO_8592_4408a",0,FALSE,FALSE,NA,NA
"2","@deinDruckpunkt 4. &lt;°­³²Æ÷Â÷&gt; Æ÷Â÷ºÐÀ§±â ±×¸®¿ö ¹æ¹®ÇÑ ÇÁ·»Ã÷¶ó¿ì¾îº¤¿¡ ÀÖ´Â ÇÑ½Ä´ç. Å©Áö¾ÊÀº ±Ô¸ð, ±º´õ´õ±â¾ø´Â ÀÎÅ×¸®¾î, ±º´õ´õ±â¾ø´Â ¸Þ´ºÆÇ. »ï°ã»ìÀÌ ½ÊÀ¯·Î¶ó´Ï. ¹°·Ð ¸¶Æ®¿¡¼± ÀÏÀ¯·ÎÁö¸¸ ´Ù¸¥·¹½ºÅä¶ûÀº ±âº» ½Ê¿ÀÀ¯·Î¶ó±¸¿©.",FALSE,0,"deinDruckpunkt",2017-05-26 23:54:33,FALSE,"868248871889252353","868254057940561921","3438048020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deinDruckpunkt",0,FALSE,FALSE,NA,NA
"3","»ï°ã»ì ºßÆä

#°­³²¾ß±¸Àå #Ç®½Î·Õ

#Àá¿ø¾ß±¸Àå01085924757
#¾ÆÂñÇÑ¹ã±èÃ¤¼Ø01085924757
#°­³²Å¬·´±èÃ¤¼Ø01085924757
#¼±¸ªÆÛºí¸¯01085924757
#³íÇö¶õÁ¦¸®01085924757
#Ã»´ã¾ß±¸Àå±èÃ¤¼Ø01085924757",FALSE,0,NA,2017-05-26 23:51:01,FALSE,NA,"868253167401684992",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","O1O_8592_4757n",0,FALSE,FALSE,NA,NA
"4","RT @cybereater: È«´ë¿¡¼­ &gt;½Ñ °ª¿¡&lt; 
°í±â ¹èºÒ¸® ¸Ô±â ±¦ÂúÀº °÷
-±¹Á¦½Ä´ç: 2,3ÀÎ¼¼Æ® ±¸¼ºÀÌ ÁÁ´Ù.µÈÀåÂî°³°¡ ¾öÃ» ÇªÁüÇÏ°í ¾óÅ«ÇÏ´Ï ¹äÀß³Ñ¾î°¨.
-´ëÆÐ°¡ 1900: ´ëÆÐ»ï°ã»ì 1ÀÎºÐ¿¡ 1900¿ø, ²ÙÁØÈ÷ »ç¶÷ÀÌ ¸¹´Ù. »ý»ï°ã»ìÀº¡¦",FALSE,0,NA,2017-05-26 23:49:04,FALSE,NA,"868252679025287168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","semsem0706",3350,TRUE,FALSE,NA,NA
"5","Why is there no »ï°ã»ì option?",FALSE,0,NA,2017-05-26 23:47:39,FALSE,NA,"868252322379345920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minimarkeu",0,FALSE,FALSE,NA,NA
"6","#ÀÎ½ºÅ¸±×·¥ #ÀÎ½ºÅ¸±×·¥¸¶ÄÉÆÃ ÀÎ½ºÅ¸±×·¥ÁÁ¾Æ¿ä´Ã¸®±â ¹Ú¼Ò´ã #ÁÁ¾Æ¿ä´Ã¸®±â Çï·Îºñ³Ê½º ¿¬¿¹ÀÎ½ºÆù ½ºÅ¸Æø½º È¨ÇÃ·¯½º #¶óÀÌÅ©¹Ì ±â¾ï ¿¬¿¹ÀÎÁ÷Ä· ÁßÇÐ»ý #¶óÀÌÅ©½ºÅ¸ »ï°ã»ì #ÀÎ½ºÅ¸±×·¥ÆÈ·Î¿ö´Ã¸®±â Çã±¸¿¬ ¹«·á¼ºÀÎ ÀÌ¾Ö¶õ ¹è´ÞÀÇ¹ÎÁ· #ÆÈ·Î¿ö´Ã¸®±â ½º¸¶Æ®ºô",FALSE,0,NA,2017-05-26 23:46:30,FALSE,NA,"868252032947425281",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","ssoltalkub3",0,FALSE,FALSE,NA,NA
"7","µÑÂ° º´¿øµ¥·Á°¡±â
µÑÂ°¶û Æ÷ÄÉ½ºÅ¾ µ¹±â
Á¡½ÉÀº »õÁß±¹Áý °¡º¸±â
¸¶Æ® Àåº¸±â
ÂùÀå Á¤¸®ÇÏ±â
Àú³áÀº »ï°ã»ì",FALSE,1,NA,2017-05-26 23:35:04,FALSE,NA,"868249153788231680",NA,"<a href=""https://www.wakamesoba98.net/sobacha/"" rel=""nofollow"">SobaCha</a>","Chateau_Margaux",1,FALSE,FALSE,NA,NA
"8","½É½ÉÇØ »ï°ã»ì¸ÔÀ¸·¯

#ÀÏ»ó #¿©Çà #¾Æ¹ã

#°­³²Ç®½Î·Õ°¡°Ý01085924757
#Ã¢µ¿Ç®½Î·Õ01085924757
#¿ª»ïµ¿Æ÷Ä¿½º01085924757
#³íÇöÇ®½Î·Õ01085924757
#È«´ëÇ®Å¬·´01085924757
#¼­ÃÊÇ®½Î·Õ01085924757",FALSE,0,NA,2017-05-26 23:24:47,FALSE,NA,"868246567609708544",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","tO1O_8592_4408",0,FALSE,FALSE,NA,NA
"9","ÈæÈæ »ï°ã»ì ¸ÀÀÖÁö....¢½",FALSE,0,"cannibalism_sad",2017-05-26 23:23:25,FALSE,"868245941014347777","868246222271795200","3134812920","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cannibalism_sad",0,FALSE,FALSE,NA,NA
"10","Ú¤¡¤¡¤¡¤¡¤»¤¡
¹æ±Ý¾ËÆ¼ÇÑ°Å¿¡¼­ »ï°ã»ìÀü¹®ÀÌ¶ó°í ½áÁø °£ÆÇºÁ¹ö·Á¼­ ÅÍÁ³´Ù¤¡¤¡¤¡¤¡¤¡",FALSE,0,NA,2017-05-26 23:22:18,FALSE,NA,"868245941014347777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cannibalism_sad",0,FALSE,FALSE,NA,NA
"11","°¡½¿ÀÌ¿ïÄÀ

#Ãß¼® #ºÎ»ê #»ï°ã»ì

#°­³²Æ÷Ä¿½º01085924757
#Ç®½Î·Õ°­³²01085924757
#È«´ëÇ®½Î·Õ01085924408
#°­³²Ä¿ÇÇºó01085924757
#¾Æ¹ãÇ®»ì·Õ01085924757
#¼½¹ãÇ®½Î·Õ01085924757",FALSE,0,NA,2017-05-26 23:21:04,FALSE,NA,"868245632196026368",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","pO1O_8592_4757",0,FALSE,FALSE,NA,NA
