"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @kimdya_: I vote for BTS for the #BBMAs<U+202F><U+202F><U+202F> Top Social Artist Award #BTSBBMAs

백옥 같던 건반 그 위 먼지가 쌓여가며
방치됐던 니 모습",FALSE,0,NA,2017-05-20 23:59:47,FALSE,NA,"866081049230557184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kimtaehyung2112",2,TRUE,FALSE,NA,NA
"2","RT @chadoolj: <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> 노무현 전 대통령을
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> 죽음으로 몰고간 5적들~
이 놈들 먼지 털다 보면
<ed><U+00A0><U+00BD><ed><U+00B0><U+0080> 이명박근혜 <ed><U+00A0><U+00BD><ed><U+00B0><U+0093>
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> 갈 때는 딱 한군데 밖에 없겠죠~! https://t.co/TWOmURmfGy",FALSE,0,NA,2017-05-20 23:59:46,FALSE,NA,"866081043912077312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geniuses09",353,TRUE,FALSE,NA,NA
"3","지금 이거엄청나게고민중 터서쓸까 아님 그대로 먼지쌓이게둘까",FALSE,0,"concho_921",2017-05-20 23:59:07,FALSE,"866080783580110848","866080880644636672","4489108932","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","concho_921",0,FALSE,FALSE,NA,NA
"4","RT @chang30141: 금정구청 먼지발생 사업장 4곳 고발 -
조국 아버지 조병현도 여기 있군., https://t.co/eUkmiaYwHG",FALSE,0,NA,2017-05-20 23:58:55,FALSE,NA,"866080828656238593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","c9a35803adcf476",8,TRUE,FALSE,NA,NA
"5","RT @poems_box: 조용히 조용을 다한다
기웃거리던 햇볕이 방 한쪽을 백색으로 오려낼 때

길게 누워 다음 생애에 발끝을 댄다
고무줄만 밟아도 죽었다고 했던 어린 날처럼

나는 나대로...

먼지는 먼지대로 조용을 조용히 다한다

&lt;먼지가 보…",FALSE,0,NA,2017-05-20 23:58:55,FALSE,NA,"866080828484272128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hyunji2176",30,TRUE,FALSE,NA,NA
"6","27 #BTSBBMAs 짐 날라, 위치 잡아, 먼지 닦아",FALSE,0,NA,2017-05-20 23:58:43,FALSE,NA,"866080777695510528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","toopyohabsida",0,FALSE,FALSE,NA,NA
"7","RT @JIMYOMI_BTS: #BTSBBMAs

아미들이 좋아하는 보드가 먼지 아러?

빌보드야 빌보드 https://t.co/nQvNuHGWJ9",FALSE,0,NA,2017-05-20 23:57:45,FALSE,NA,"866080534702596096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hanee_twt",173,TRUE,FALSE,NA,NA
"8","공항 첨 갔는데 머가 먼지도 모르겠고 걍 사람한테 휩쓸려 다닌듯;;;;; 다신 안가ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ",FALSE,1,NA,2017-05-20 23:57:45,FALSE,NA,"866080534379626496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wei__shenme",0,FALSE,FALSE,NA,NA
"9","피규어를 못꺼내놓는게 먼지쌓이는것도 쌓이는건데 내가 알기로는 재질이 pvc류는 햇빛에 오래 노출되면 도색한 색이 날아가서....",FALSE,0,NA,2017-05-20 23:57:17,FALSE,NA,"866080419611111424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_BearBee",0,FALSE,FALSE,NA,NA
"10","바람! 흙먼지! 모래폭풍! 거친주먹! 이것이 사나이의 로망!",FALSE,0,NA,2017-05-20 23:56:26,FALSE,NA,"866080205214896128",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","dacasomon_bot",0,FALSE,FALSE,NA,NA
