"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","³ªÀÌÆ® ÀÌÁ¦ 52µÇ°í À½À¯ 51ÀÌ´Ï±î

¹¹¸ÕÁö Å°¿ìÁö",FALSE,0,NA,2017-05-25 16:14:16,FALSE,NA,"867775836132261888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boram414",0,FALSE,FALSE,NA,NA
"2","RT @Saebyeok_nya: ¿©·¯ºÐ ¸ÕÁö ¹¦ÁÖ´Ô²²¼­ ÀüÁÖ¿¡¼­ À¯±â¹¦¸¦ ±¸Á¶ÇÏ¼Ì½À´Ï´Ù!¤Ð¤Ð¤Ð ·¯ºí¾Æ°¡°í ¾Ö±â´Â ¸¶¸¥°Í°°Áö¸¸ °Ç°­ÇÏ´Ù°í ÇÏ±¸¿ä! ÀÔ¾çÃ³³ª ÀÓº¸Ã³¸¦ ±¸ÇÏ°íÀÖ¾î¿ä! Áö¿ªÀº ÀüÁÖ°í¿ä! ¸¹Àº µµ¿ò ºÎÅ¹µå·Á¿ä¤Ð¤Ð
https://t.co/zhP¡¦",FALSE,0,NA,2017-05-25 16:14:02,FALSE,NA,"867775779018493952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Myummizzi",31,TRUE,FALSE,NA,NA
"3","½ºÅ°µå: º¹Ä¡°¡ ´«¿¡ ¸ÕÁö°¡ µé¾î°¡¼­ ¾ÆÆÄÇÏ°í ÀÖ±æ·¡ ¾È¾àÀ» ³Ö¾îÁá¾î. ""ÀÚ, ±ôºý±ôºý ÇØºÁ."" ¶ó°í Çß´õ´Ï º¹Ä¡´Â ´«À» °¨Àº Ã¤·Î ÀÔÀ¸·Î ""±ôºý±ôºý"" ÀÌ¶ó°í ÇÏ´õ¶ó.",FALSE,0,NA,2017-05-25 16:14:00,FALSE,NA,"867775769333841921",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","BNI_cnp",0,FALSE,FALSE,NA,NA
"4","@soyou_HY2 ±×·³ ÃÖ¼ÒÇÑ Èë¸ÕÁö¶óµµ ´Û¾Æ¾ßÁö. »óÃ³¿¡ ¾û°ÜºÙ¾î ±»À¸¸é °ñÄ¡°¡ ¾ÆÇÁ´Ï ¸»ÀÌ´Ù. (¾ÆÀÌÃ³·³ ±Í¿©¿öÇÏ°í ÀÖÀ» ¶§¿´À¸¸é Àú°¡ ´Û¾ÆÁØ´Ù°í ³óÀ» ÃÆÀ»Áöµµ ¸ð¸£´Â ÀÏÀÌ´Ù¡¦)",FALSE,0,"soyou_HY2",2017-05-25 16:13:58,FALSE,"867775152662003715","867775762023170048","866368560091680769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hoyeon_HY2",0,FALSE,FALSE,NA,NA
"5","@1226456_S0TR ±¦Âú½À´Ï´Ù. ±×¸® ¿©±â´Â ÀÌ ¾ø´Ù°í »ç·ÁµË´Ï´Ù. (¸ÕÁöµµ ÀÌ¸® ¶ß°Å¿ï ¼ö ÀÖ½À´Ï´Ù. »ýßæ ÀÇ ¿ªµ¿ÀûÀÎ ÈûÀº ¹°ºÒÀ» °¡¸®Áö ¾Ê°í Á¸Àç¸¦ ÁÖÀåÇÑ´Ù. ¹Ìµ¿Á¶Â÷ ¾ø´Â ¿ì¸®°¡ ´À³¢µí. ÆÈÀ» ¿¡µÑ·¯ Á» ´õ ²ø¾î¾È´Â´Ù.)",FALSE,0,"1226456_S0TR",2017-05-25 16:13:54,FALSE,"867771172187889665","867775744759406593","867735619299983360","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1226456_D4WN",0,FALSE,FALSE,NA,NA
"6","RT @data_Jabgom: https://t.co/mixRRB8kmp
¸ÕÁö°¡ ³¯¸®°Å³ª È¤Àº ³°Àº ´À³¦À» ÁÙ ¼ö ÀÖ´Â °íÇØ»óµµ ÅØ½ºÃÄÀÔ´Ï´Ù. https://t.co/ZE7qCRQrKX",FALSE,0,NA,2017-05-25 16:13:26,FALSE,NA,"867775624424837121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jihion0821",5359,TRUE,FALSE,NA,NA
"7","±× ¸ð³Ä »öÄ¥...¾Æ´Ï°í ¾Æ Ã¤»öÀº ³Ê¹« ¾î·Æ´Ù ¼±µû´Â °Ç ³ª¸§ °µÂù¾Ñ´Âµ¥ Ã¤»öÀº ÁøÂ¥ ¸ÕÁö ¸ô°¹´Ù Ã¤»ö... Ã¤»ö...Ã¤»ö ¹»±î...",FALSE,0,NA,2017-05-25 16:13:21,FALSE,NA,"867775606863273984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","olilill",0,FALSE,FALSE,NA,NA
"8","20ÁÖ³â ¾Ù¹ü Ç®·Î ÀÌÁ¦¾ß µé¾îºÃ°í ¸¸µç Æ÷ÀÎÆ® ¸ÕÁö ¸ôÀ¸°Ú´Ù
2016 ¸®¸ÞÀÌÅ© ¾Ù¹üÀÌ ¾ø¾úÀ¸¸é 20ÁÖ³â ¾Ù¹üÀÌ´Ï±î ¿¾³¯ È÷Æ®°î ¸î°³ À½Áú ³ô¿©¼­ ´Ù½Ã ³¾ ¼ö ÀÖ´Ù »ý°¢ÇÔ (¸®¸ÞÀÌÅ©¶ó ¸øÇÏ°Ú´Ù ¼ÖÁ÷È÷ °Çµç °÷ °ÅÀÇ ¾øÀ½)
±Ùµ¥ ³ÂÀÚ³ª ¸®¸ÞÀÌÅ© ¾Ù¹ü",FALSE,1,NA,2017-05-25 16:13:14,FALSE,NA,"867775577444319232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","wayward_killjoy",0,FALSE,FALSE,NA,NA
"9","¹Ð½Ç, ¹ÌÃ³ °¡¸®Áö ¸øÇÑ ÇÇºñ¸°³», Àû³ª¶óÇÏ°Ô µå·¯³»´Â »ìÀÇ, ±×¸®°í ±×ÀÇ ¾ó±¼À» º¸ÀÚ ±â¾ï ÀúÆí¿¡¼­ ´À²¸Áø ÀÍ¼÷ÇÔ. È¥¶õ½º·¯¿î aÀÇ ´«ºûÀ» Áñ°Ì°Ô ¹Ù¶óº¸´ø Áö´±ÀÌ ¾Æ½¬¿îµíÇÑ Ç¥Á¤À¸·Î ¸ÕÁö°¡ ¾à°£ ¹¯Àº ±¸µÎÄÚ¸¦ ÅÐ¸ç ÀÚ¸®¿¡¼­ ÀÏ¾î³ª µ¹¾Æ°¨. ±×¸®°í",FALSE,0,"Yo3ovon",2017-05-25 16:12:56,FALSE,"867774384190050304","867775499191238656","4840034719","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yo3ovon",0,FALSE,FALSE,NA,NA
"10","RT @everyday_kkachi: Åä°ÔÇÇÀÎÇü ½Ç»ç..¡Ù ¸ÕÁö¾ÉÀ»±îºÁ ´Ù½Ã ºñ´Ò¿¡ ³Ö¾î³ù´Ù ¤Ð¤Ð ±Í¿©¿ö ÁøÂ¥ ¹Ú¼º¿ì¾ß ¤Ð¤Ð https://t.co/kLfJuKtCW1",FALSE,0,NA,2017-05-25 16:12:56,FALSE,NA,"867775498700570626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sungwoo_chibal",13,TRUE,FALSE,NA,NA
"11","@Alle_ofme Èï. ÀÌ·± Æø·ÂÁÖÀÇÀÚµé °°À¸´Ï¶ó°í. (ÄÚ¿ôÀ½Ä¡¸ç ¸»À» ÀÌ¾ú´Ù.) ¾Æ, ±×·¡¼­ ¸ÕÁö°¡ ÅÐ¸®°í ½Í´Ù°í¿ä?",FALSE,0,"Alle_ofme",2017-05-25 16:12:24,FALSE,"867774328812617732","867775366173122560","866999157642321920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Easter_ofme",0,FALSE,FALSE,NA,NA
"12","Àý¸ÁÀûÀÏ Á¤µµ·Î ³» À§Ä¡¸¦ Àß ¾Ë°Ú´Ù. »çÈ¸¿¡¼­ ³»°¡ °®´Â ÀÇ¹Ì¶õ Á¤¸» ¸ÕÁö ÇÑÅç¸¸Å­ÀÇ °¡Ä¡µµ ¾ø´Â °Å±¸³ª. ¿ø·¡ ³»¼¼¿ï ÇÐ¹úÀÌ³ª Àç·Â°°Àº °Ç ¾ø¾úÁö¸¸ ´õÀÌ»ó ¾î¸®Áöµµ ³¯¾ÀÇÏÁöµµ ±×·¸´Ù°í ½Ï½ÏÇÏÁöµµ ¸øÇÑ ³» À§Ä¡´Â °íÀÛ ¿©±â.",FALSE,0,NA,2017-05-25 16:12:24,FALSE,NA,"867775365581754370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manjuy120203",0,FALSE,FALSE,NA,NA
"13","RT @llapiuyuuuuu: ¿¡ÀÏ¸®¾ð »ìÂ¦ »ìÆ÷ÇÏ°í ³ª¼­ ¿µ¿øÈ÷ È¥ÀÚ ³²°ÜÁú ¿ùÅÍ°¡ »ý°¢³­ µ¥ÀÌºøÀÌ 20³â Âë ÀÖ´Ù Çà¼º¿¡ µÇµ¹¾Æ°¡º¸´Âµ¥, ÀÚ±â°¡ ±×·È´ø ±×¸² »ì¶ãÇÏ°Ô ¹­¾î Ã¢°í¿¡ Á¤¸®ÇÏ°í ¿Â°® °÷ ¸ÕÁö ÅÐ°í ¹°°É·¹ÁúÇÏ°í °¡²û ÇÇ¸®µµ ºÒ¸ç Ã»¼Ò¡¦",FALSE,0,NA,2017-05-25 16:12:23,FALSE,NA,"867775362779848704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jenya1029",9,TRUE,FALSE,NA,NA
