"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","[US$27.99](▼21%)BULU BLUE  2세대 신형 스마트 마스크/N95 미세먼지 황사 마스크/미세먼지 황사 마스크//무료 배송//가을철 마스크/구성품: 마스크필터2개모듈수납백USB 케이/ https://t.co/HmPGvEyy5n",FALSE,0,NA,2017-05-29 23:20:31,FALSE,NA,"869332658878242816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roresy",0,FALSE,FALSE,NA,NA
"2","미세먼지 모조리 다 닦아내고 싶을때!, 
용도별 행주로 닦으세요~ 

https://t.co/8jPSUBg5TI

미세먼지만 보면 성질나는 분, 간단하게 세차하고 싶으신 분 필수!

#행주 #미세먼지 #초미세먼지 #황사 #세차용품 #걸레",FALSE,0,NA,2017-05-29 21:57:27,FALSE,NA,"869311754274131969",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","joongbal",0,FALSE,FALSE,NA,NA
"3","@oonote @phjongb 공기는 어디에도 있지요. 정치가 잘 되기위해 있는 시민 개인이 있지요.
제가 느끼는건 자유당 인사들이 모이면 미세먼지 부터 황사가 느껴져서 방독면이 생각나는 난 왜이런가요?",FALSE,0,"oonote",2017-05-29 17:30:00,FALSE,"868981281974964224","869244447040561152","235497325","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GPSpark",0,FALSE,FALSE,NA,NA
"4","와 그러고보니
나 특별한 황사 없으면
맨날 쾌적,보통 유지하는 미세먼지,공기",FALSE,0,NA,2017-05-29 16:53:55,FALSE,NA,"869235363818070016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shl2856s",0,FALSE,FALSE,NA,NA
"5","RT @ecof3: 지금 당장 미세먼지는 그렇게 존나 난리난리인데 지진이랑 원전 얘기 그렇게 심각하신지...? 기상예보에서 만날천날 황사 얘기하시는건 서울및 수도권 지역에 심해서 그러신거구요 부산살땐 존나 필요도 없는 꼭지를 기상예보때 봐야만 한다구…",FALSE,0,NA,2017-05-29 15:57:49,FALSE,NA,"869221248089194496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kr_bluebird",2,TRUE,FALSE,NA,NA
"6","지금 당장 미세먼지는 그렇게 존나 난리난리인데 지진이랑 원전 얘기 그렇게 심각하신지...? 기상예보에서 만날천날 황사 얘기하시는건 서울및 수도권 지역에 심해서 그러신거구요 부산살땐 존나 필요도 없는 꼭지를 기상예보때 봐야만 한다구ㅋㅋㅋㅋ",FALSE,0,NA,2017-05-29 15:56:32,FALSE,NA,"869220924226117632",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ecof3",2,FALSE,FALSE,NA,NA
"7","내가 왜 이동네가 미세먼지 황사 매연콤보로 다른데 다맑아도 공기나쁨 띄워도 사는데.. 온갖 편의시설 걍 집나가면 다있으니까 이러고살지ㅇㅅㅇ",FALSE,1,NA,2017-05-29 15:39:37,FALSE,NA,"869216667246645248",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","seizen_m_",0,FALSE,FALSE,NA,NA
"8","건조·황사·미세먼지…달콤살벌한 봄나들이 필수템 https://t.co/TzqOcmXbx5",FALSE,0,NA,2017-05-29 13:33:43,FALSE,NA,"869184983893630976",NA,"<a href=""http://www.naver.com"" rel=""nofollow"">Naver</a>","sheslife0",0,FALSE,FALSE,NA,NA
"9","RT @neoginjo: 황사는 풍화현상이고 모래 알갱이가 공장매연을 같이 쓸고 와서 문제인 것. 반면에 미세중금속(미세먼지)은 매연 입자와 공기중의 황산화물 등이 엉긴 것.",FALSE,0,NA,2017-05-29 11:58:48,FALSE,NA,"869161098133372929",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mit_etwD",1,TRUE,FALSE,NA,NA
"10","황사는 풍화현상이고 모래 알갱이가 공장매연을 같이 쓸고 와서 문제인 것. 반면에 미세중금속(미세먼지)은 매연 입자와 공기중의 황산화물 등이 엉긴 것.",FALSE,0,NA,2017-05-29 10:28:49,FALSE,NA,"869138450548629504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neoginjo",1,FALSE,FALSE,NA,NA
"11","RT @heybibble: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>cosmopolitankorea:청순열매 <ed><U+00A0><U+00BC><ed><U+00BD><U+0092>X100 개는 먹은 듯한<U+00A0>#이성경(heybiblee)의 두피 잠금 장치?<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> 이 언니처럼<U+00A0>#미세먼지<U+00A0>#황사<U+00A0>때문에 두피가 신경 쓰인다면 본 영상을 끝까지 정독해주세요. 마지막 저…",FALSE,0,NA,2017-05-29 09:35:30,FALSE,NA,"869125033427214337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aRMy_1221",1,TRUE,FALSE,NA,NA
"12","근데 저거 운동화 빨은 건가? 
가뜩이나 미세먼지 황사 심각한데 꼬랑내를 하늘에다 전시하면...",FALSE,0,"palja76bulae",2017-05-29 09:00:34,FALSE,"869116077430538240","869116244267483136","757534273389723648","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","palja76bulae",0,FALSE,FALSE,NA,NA
"13","미세먼지 모조리 다 닦아내고 싶을때!, 
용도별 행주로 닦으세요~ 

https://t.co/8jPSUBg5TI

미세먼지만 보면 성질나는 분, 간단하게 세차하고 싶으신 분 필수!

#행주 #미세먼지 #초미세먼지 #황사 #세차용품 #걸레",FALSE,0,NA,2017-05-29 08:27:26,FALSE,NA,"869107903151484929",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","joongbal",0,FALSE,FALSE,NA,NA
