"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Jacheoffice_KH: 오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨 장난 아…",FALSE,0,NA,2017-05-28 23:58:19,FALSE,NA,"868979780292562945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nnejeid",8,TRUE,FALSE,NA,NA
"2","RT @Jacheoffice_KH: 오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨 장난 아…",FALSE,0,NA,2017-05-28 23:57:56,FALSE,NA,"868979685325021185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vsjeue",8,TRUE,FALSE,NA,NA
"3","RT @roll_liner: 그 씹새끼 그 새끼가 현수 엄마 죽일 때 조심성이 없어가지고 개새끼가 미세먼지도 심한데 마스크도 안 끼고 시발새끼",FALSE,0,NA,2017-05-28 23:55:46,FALSE,NA,"868979140954701824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","6tangtang",195,TRUE,FALSE,NA,NA
"4","RT @Jacheoffice_KH: 오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨 장난 아…",FALSE,0,NA,2017-05-28 23:55:11,FALSE,NA,"868978994141478913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hdue283",8,TRUE,FALSE,NA,NA
"5","RT @Jacheoffice_KH: 오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨 장난 아…",FALSE,0,NA,2017-05-28 23:49:22,FALSE,NA,"868977529050112000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heuristic3832",8,TRUE,FALSE,NA,NA
"6","@BOGUMMY  5월 마지막주을 시작하는 월요일 아침!  미세먼지 농도가 높다하니 마스크 착용하고 활동하기바래~~ 언제나 보검이를 응원해<ed><U+00A0><U+00BC><ed><U+00BC><U+00B1>

#박보검 #ParkBogum #감사하다 https://t.co/j7EYbaTtfB",FALSE,16,"BOGUMMY",2017-05-28 23:48:32,FALSE,NA,"868977318194102272","206500951","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k258076",3,FALSE,FALSE,NA,NA
"7","RT @roll_liner: 그 씹새끼 그 새끼가 현수 엄마 죽일 때 조심성이 없어가지고 개새끼가 미세먼지도 심한데 마스크도 안 끼고 시발새끼",FALSE,0,NA,2017-05-28 23:48:15,FALSE,NA,"868977249378213888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","buraldangwon",195,TRUE,FALSE,NA,NA
"8","RT @Jacheoffice_KH: 오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨 장난 아…",FALSE,0,NA,2017-05-28 23:48:03,FALSE,NA,"868977199390445568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WINNER_FanJJ",8,TRUE,FALSE,NA,NA
"9","@codong4869 미세먼지마스크 쓰니까 개덥네요",FALSE,0,"codong4869",2017-05-28 23:43:23,FALSE,"868975814338949121","868976024175788032","609526642","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tf_priceless",0,FALSE,FALSE,NA,NA
"10","오늘 서울은 미세먼지 보통이라고 대기 환경정보에도 나고 날씨도 좀 쌀쌀해서 황사마스크라도 꼭 착용하고 다니세요 올해 7월 8월부터 여름 날씨에는 굉장히 덥더라고 하더라고요 주변 분들 말로는 올해 서울 날씨… https://t.co/CU5xYcddPx",FALSE,1,NA,2017-05-28 23:43:12,TRUE,NA,"868975976784384000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jacheoffice_KH",8,FALSE,FALSE,NA,NA
