"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @youngkim28: 환경정책평가연구원 국내 미세먼지(10μm 이하)농도 중국 기여도 최고 70%로 분석. 전북 보건환경연구원의 미세먼지 원인분석도 70%가 중국 영향으로 나타나. 

중국은 석탄발전소 계속 증설, 한국이 화력발전 몇개 닫는다…",FALSE,0,NA,2017-05-27 22:36:15,FALSE,NA,"868596741150576641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tkhanuli",16,TRUE,FALSE,NA,NA
"2","RT @youngkim28: 환경정책평가연구원 국내 미세먼지(10μm 이하)농도 중국 기여도 최고 70%로 분석. 전북 보건환경연구원의 미세먼지 원인분석도 70%가 중국 영향으로 나타나. 

중국은 석탄발전소 계속 증설, 한국이 화력발전 몇개 닫는다…",FALSE,0,NA,2017-05-27 22:16:40,FALSE,NA,"868591811731668993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wlsdls60",16,TRUE,FALSE,NA,NA
"3","[노컷뉴스] 3천명의 미세먼지 토론 결과는?…""노후 발전소 중단"" https://t.co/pK3mqAT9Ea",FALSE,0,NA,2017-05-27 22:16:03,FALSE,NA,"868591656555003905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DikesEye",0,FALSE,FALSE,NA,NA
"4","[노컷뉴스] 3천명의 미세먼지 토론 결과는?…""노후 발전소 중단"" https://t.co/UxvmUKOic1

와우... 광장토론... 대다나다!! 개인이기주의를 떠나 공동의 가치를 찾아 지혜를 모아내고, 관련기관과 시민모두가 행동한다...놀랍네요",FALSE,1,NA,2017-05-27 21:49:54,FALSE,NA,"868585076505706496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","11min0",1,FALSE,FALSE,NA,NA
"5","요즘 미세먼지가 없는데 그 이유가 우리나라 석탄 발전소 안돌려서 그러건지 중국 공장 안돌려서 그런건지 궁금하다",FALSE,0,NA,2017-05-27 15:46:54,FALSE,NA,"868493722836647936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","winiceter",0,FALSE,FALSE,NA,NA
"6","RT @Ied3GPiVLxkJRZp: 핵발전소와 석탄발전소를 없애는 대안은 조력발전입니다.
만약 새만금호에 조력발전을 건설한다면 시화호의 5배이상 생산 가능할 것이며 서해안의 각종 호를 이용하여 조력발전을 건설하면 핵발전소를 모두 없앨 수 있으며 미…",FALSE,0,NA,2017-05-27 13:48:34,FALSE,NA,"868463945144705024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ied3GPiVLxkJRZp",4,TRUE,FALSE,NA,NA
"7","RT @Ied3GPiVLxkJRZp: 충남지역에 석탄화력발전소가 전국의 50%정도가 밀집되어 있다고 한다. 물론 바닷가의 당진이겠지요.
이러한 화력발전은 미세먼지도 심각하지만 복수기에서 바다에 버린 열때문에 서해안 바다가 황폐해지고 있다.
어민들이…",FALSE,0,NA,2017-05-27 13:45:18,FALSE,NA,"868463124030005253",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ied3GPiVLxkJRZp",5,TRUE,FALSE,NA,NA
"8","RT @Ied3GPiVLxkJRZp: 미세먼지는 온난화의 초기증상, 더 이상 방치하면 재앙이 올것이 뻔하다. 신재생을 제외한 모든 발전소와 화석연료 사용이 원인이며 조력발전소가 대안입니다.
지구가 돌고 있는 한 밀물과 썰물이 있으므로 호를 이용하여…",FALSE,0,NA,2017-05-27 13:43:42,FALSE,NA,"868462719174754304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ied3GPiVLxkJRZp",3,TRUE,FALSE,NA,NA
"9","RT @UNfuture: 말도 안되는 한전 미세먼지 대안, 기존 발전소 환경설비교체에 6조원을 청정에너지 즉 태양광에너지 기술개발 배터리기술개발에 써야한다. ″에너지혁명2030″ 공저자 박영숙 유엔미래포럼대표 https://t.co/JhwWAqdJq…",FALSE,0,NA,2017-05-27 12:11:04,FALSE,NA,"868439410026586112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sojugol102",2,TRUE,FALSE,NA,NA
"10","3천명의 미세먼지 토론 결과는?…""노후 발전소 중단"" https://t.co/uD9jlNiRqD #news",FALSE,0,NA,2017-05-27 11:58:14,FALSE,NA,"868436180370677760",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Go_SouthKorea",0,FALSE,FALSE,NA,NA
"11","[미세먼지]
▲ 미세먼지 환경기준 최소 선진국 수준, 최대 WHO 권고수준까지 강화
▲ 초미세먼지 기준 신설
▲ 한중일 환경협약 체결, 공조강화
▲ 신규 화력발전소 건설 중단
▲ 낡은 발전소 가동 중단",FALSE,0,NA,2017-05-27 09:16:33,FALSE,NA,"868395491196772352",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","natureeco_bot",0,FALSE,FALSE,NA,NA
